articulo,numero,topico,score
Artículo 1°,0,Estatuto de las aguas,8.404954860452563e-05
Artículo 2º,0,Órganos autónomos constitucionales,0.12082622200250626
Artículo 2º,0,Acciones constitucionales,0.07095196098089218
Artículo 2º,0,Comuna autónoma,0.06976048648357391
Artículo 2º,0,Nacionalidad y ciudadanía,0.054489728063344955
Artículo 2º,0,Poder ejecutivo,0.05306580662727356
Artículo 2º,0,Participación y representación,0.05159532278776169
Artículo 2º,0,Contraloría general de la república,0.04821230098605156
Artículo 2º,0,Organización territorial,0.04726867377758026
Artículo 2º,0,Defensoría Penal Pública,0.044592875987291336
Artículo 2º,0,Región autónoma,0.04358992725610733
Artículo 2º,0,Poder legislativo,0.040275074541568756
Artículo 2º,0,Consejo de la Justicia,0.03736547753214836
Artículo 2º,0,Autonomía fiscal,0.031045682728290558
Artículo 2º,0,Ministerio Público,0.030870839953422546
Artículo 2º,0,Principios y disposiciones generales,0.028028374537825584
Artículo 2º,0,Corte Constitucional,0.027104075998067856
Artículo 2º,0,Proceso de creación de leyes,0.020523160696029663
Artículo 2º,0,Reforma Constitucional,0.01964646950364113
Artículo 2º,0,Buen gobierno y función pública,0.01650163158774376
Artículo 2º,0,Tipos de democracia,0.01432780735194683
Artículo 2º,0,Sistemas de justicia,0.012327673844993114
Artículo 2º,0,Derechos fundamentales,0.011571175418794155
Artículo 2º,0,Territorios especiales,0.011149464175105095
Artículo 2º,0,Derechos de la naturaleza,0.01027488149702549
Artículo 2º,0,Agencia Nacional de Protección de Datos,0.010188879445195198
Artículo 2º,0,Estatuto de los minerales,0.009832266718149185
Artículo 2º,0,Sobre los derechos,0.009446871466934681
Artículo 2º,0,Bienes comunes naturales,0.009293575771152973
Artículo 2º,0,Defensoría de la Naturaleza,0.008865638636052608
Artículo 2º,0,Defensoría del Pueblo y de la Niñez,0.008548893965780735
Artículo 2º,0,Provincia,0.006143138278275728
Artículo 2º,0,Sufragio y sistema electoral,0.00536651024594903
Artículo 2º,0,Banco Central,0.004694754723459482
Artículo 2º,0,Ruralidad,0.0041721658781170845
Artículo 2º,0,Estatuto de las aguas,0.0030021220445632935
Artículo 2º,0,Cambio de Constitución,0.002797023393213749
Artículo 2º,0,Autonomías territoriales indígenas,0.0022830951493233442
Artículo 3º,0,Órganos autónomos constitucionales,0.34136560559272766
Artículo 3º,0,Poder ejecutivo,0.14075936377048492
Artículo 3º,0,Acciones constitucionales,0.10159585624933243
Artículo 3º,0,Organización territorial,0.08873951435089111
Artículo 3º,0,Principios y disposiciones generales,0.052565716207027435
Artículo 3º,0,Región autónoma,0.03583487495779991
Artículo 3º,0,Comuna autónoma,0.02255922555923462
Artículo 3º,0,Tipos de democracia,0.017608080059289932
Artículo 3º,0,Contraloría general de la república,0.016893308609724045
Artículo 3º,0,Territorios especiales,0.016612857580184937
Artículo 3º,0,Corte Constitucional,0.01617724820971489
Artículo 3º,0,Poder legislativo,0.015234782360494137
Artículo 3º,0,Defensoría Penal Pública,0.014281194657087326
Artículo 3º,0,Nacionalidad y ciudadanía,0.012975930236279964
Artículo 3º,0,Participación y representación,0.01288182009011507
Artículo 3º,0,Buen gobierno y función pública,0.012423858046531677
Artículo 3º,0,Ruralidad,0.009286615997552872
Artículo 3º,0,Provincia,0.008140040561556816
Artículo 3º,0,Sobre los derechos,0.007675918750464916
Artículo 3º,0,Reforma Constitucional,0.006784692406654358
Artículo 3º,0,Estatuto de los minerales,0.005857940297573805
Artículo 3º,0,Ministerio Público,0.005327222403138876
Artículo 3º,0,Cambio de Constitución,0.005184343084692955
Artículo 3º,0,Proceso de creación de leyes,0.005138923414051533
Artículo 3º,0,Agencia Nacional de Protección de Datos,0.004367844667285681
Artículo 3º,0,Derechos fundamentales,0.003766175825148821
Artículo 3º,0,Sistemas de justicia,0.0030344920232892036
Artículo 3º,0,Banco Central,0.002921545645222068
Artículo 3º,0,Consejo de la Justicia,0.0027507897466421127
Artículo 3º,0,Derechos de la naturaleza,0.0025148361455649137
Artículo 3º,0,Defensoría de la Naturaleza,0.0019218309316784143
Artículo 3º,0,Autonomía fiscal,0.0015940337907522917
Artículo 3º,0,Autonomías territoriales indígenas,0.0012625236995518208
Artículo 3º,0,Bienes comunes naturales,0.0012335233623161912
Artículo 3º,0,Sufragio y sistema electoral,0.0010506145190447569
Artículo 3º,0,Defensoría del Pueblo y de la Niñez,0.0009560728212818503
Artículo 3º,0,Estatuto de las aguas,0.0007208525203168392
Artículo 4°,0,Comuna autónoma,0.2918916642665863
Artículo 4°,0,Sobre los derechos,0.12705367803573608
Artículo 4°,0,Acciones constitucionales,0.1111535057425499
Artículo 4°,0,Participación y representación,0.1000877246260643
Artículo 4°,0,Región autónoma,0.09585487842559814
Artículo 4°,0,Principios y disposiciones generales,0.06391708552837372
Artículo 4°,0,Provincia,0.033358559012413025
Artículo 4°,0,Órganos autónomos constitucionales,0.02784884348511696
Artículo 4°,0,Corte Constitucional,0.01445670984685421
Artículo 4°,0,Derechos fundamentales,0.013852433301508427
Artículo 4°,0,Nacionalidad y ciudadanía,0.013113724999129772
Artículo 4°,0,Agencia Nacional de Protección de Datos,0.00835325662046671
Artículo 4°,0,Ministerio Público,0.007919601164758205
Artículo 4°,0,Sufragio y sistema electoral,0.007860924117267132
Artículo 4°,0,Tipos de democracia,0.007396078202873468
Artículo 4°,0,Organización territorial,0.0073837279342114925
Artículo 4°,0,Reforma Constitucional,0.006703542545437813
Artículo 4°,0,Consejo de la Justicia,0.006410087924450636
Artículo 4°,0,Proceso de creación de leyes,0.005780632141977549
Artículo 4°,0,Buen gobierno y función pública,0.005556606221944094
Artículo 4°,0,Contraloría general de la república,0.005430020857602358
Artículo 4°,0,Defensoría Penal Pública,0.004402493592351675
Artículo 4°,0,Poder ejecutivo,0.004384385887533426
Artículo 4°,0,Poder legislativo,0.00421246699988842
Artículo 4°,0,Banco Central,0.003924015909433365
Artículo 4°,0,Defensoría del Pueblo y de la Niñez,0.00324060651473701
Artículo 4°,0,Cambio de Constitución,0.002146602375432849
Artículo 4°,0,Ruralidad,0.0020550969056785107
Artículo 4°,0,Sistemas de justicia,0.002035875106230378
Artículo 4°,0,Bienes comunes naturales,0.002031151670962572
Artículo 4°,0,Estatuto de los minerales,0.001959149492904544
Artículo 4°,0,Defensoría de la Naturaleza,0.0018655025633051991
Artículo 4°,0,Derechos de la naturaleza,0.0016320201102644205
Artículo 4°,0,Autonomía fiscal,0.001468542031943798
Artículo 4°,0,Territorios especiales,0.0013146367855370045
Artículo 4°,0,Autonomías territoriales indígenas,0.001077199005521834
Artículo 4°,0,Estatuto de las aguas,0.0008669959497638047
Artículo 5º,0,Derechos de la naturaleza,0.24935904145240784
Artículo 5º,0,Derechos fundamentales,0.2246669977903366
Artículo 5º,0,Sobre los derechos,0.18687880039215088
Artículo 5º,0,Defensoría de la Naturaleza,0.15076906979084015
Artículo 5º,0,Órganos autónomos constitucionales,0.11071722209453583
Artículo 5º,0,Poder ejecutivo,0.021279005333781242
Artículo 5º,0,Comuna autónoma,0.010567506775259972
Artículo 5º,0,Región autónoma,0.009943095967173576
Artículo 5º,0,Acciones constitucionales,0.008709346875548363
Artículo 5º,0,Poder legislativo,0.007831375114619732
Artículo 5º,0,Nacionalidad y ciudadanía,0.006174440495669842
Artículo 5º,0,Provincia,0.0015949723310768604
Artículo 5º,0,Principios y disposiciones generales,0.0014288855018094182
Artículo 5º,0,Contraloría general de la república,0.0011808885028585792
Artículo 5º,0,Sufragio y sistema electoral,0.0009183623478747904
Artículo 5º,0,Participación y representación,0.0009017522097565234
Artículo 5º,0,Corte Constitucional,0.0008306899107992649
Artículo 5º,0,Organización territorial,0.0006851232028566301
Artículo 5º,0,Ministerio Público,0.0006647712434642017
Artículo 5º,0,Tipos de democracia,0.0004410523397382349
Artículo 5º,0,Consejo de la Justicia,0.00042655906872823834
Artículo 5º,0,Proceso de creación de leyes,0.0003933544794563204
Artículo 5º,0,Bienes comunes naturales,0.000385861232643947
Artículo 5º,0,Defensoría Penal Pública,0.0003561597550287843
Artículo 5º,0,Reforma Constitucional,0.00032589546754024923
Artículo 5º,0,Agencia Nacional de Protección de Datos,0.00027445575688034296
Artículo 5º,0,Cambio de Constitución,0.00027107581263408065
Artículo 5º,0,Buen gobierno y función pública,0.00026956317014992237
Artículo 5º,0,Banco Central,0.00023700675228610635
Artículo 5º,0,Autonomía fiscal,0.00021278725762385875
Artículo 5º,0,Sistemas de justicia,0.00021044274035375565
Artículo 5º,0,Ruralidad,0.0002075991069432348
Artículo 5º,0,Territorios especiales,0.0002064453437924385
Artículo 5º,0,Autonomías territoriales indígenas,0.00019298508414067328
Artículo 5º,0,Estatuto de los minerales,0.00017423969984520227
Artículo 5º,0,Defensoría del Pueblo y de la Niñez,0.00016591443272773176
Artículo 5º,0,Estatuto de las aguas,0.00014722858031746
Artículo 6º,0,Acciones constitucionales,0.5931946635246277
Artículo 6º,0,Principios y disposiciones generales,0.20993243157863617
Artículo 6º,0,Órganos autónomos constitucionales,0.1105135828256607
Artículo 6º,0,Buen gobierno y función pública,0.04375428333878517
Artículo 6º,0,Poder ejecutivo,0.009618722833693027
Artículo 6º,0,Contraloría general de la república,0.008998055011034012
Artículo 6º,0,Poder legislativo,0.0021845833398401737
Artículo 6º,0,Comuna autónoma,0.001920740818604827
Artículo 6º,0,Derechos fundamentales,0.0015059029683470726
Artículo 6º,0,Tipos de democracia,0.0014025830896571279
Artículo 6º,0,Sobre los derechos,0.0012626698007807136
Artículo 6º,0,Corte Constitucional,0.001218399964272976
Artículo 6º,0,Organización territorial,0.0010844313073903322
Artículo 6º,0,Región autónoma,0.0010506607359275222
Artículo 6º,0,Provincia,0.0009858818957582116
Artículo 6º,0,Ministerio Público,0.0009331589099019766
Artículo 6º,0,Participación y representación,0.0008625893970020115
Artículo 6º,0,Consejo de la Justicia,0.0008375901961699128
Artículo 6º,0,Proceso de creación de leyes,0.0008055210346356034
Artículo 6º,0,Reforma Constitucional,0.000797897984739393
Artículo 6º,0,Defensoría Penal Pública,0.0007807888323441148
Artículo 6º,0,Sistemas de justicia,0.0006117144948802888
Artículo 6º,0,Ruralidad,0.0006018250714987516
Artículo 6º,0,Agencia Nacional de Protección de Datos,0.000552035984583199
Artículo 6º,0,Cambio de Constitución,0.00047300971345975995
Artículo 6º,0,Banco Central,0.0004591298056766391
Artículo 6º,0,Bienes comunes naturales,0.0004035673919133842
Artículo 6º,0,Defensoría del Pueblo y de la Niñez,0.0003979924076702446
Artículo 6º,0,Autonomías territoriales indígenas,0.000390118220821023
Artículo 6º,0,Estatuto de los minerales,0.0003886335180141032
Artículo 6º,0,Autonomía fiscal,0.00038411919376812875
Artículo 6º,0,Nacionalidad y ciudadanía,0.00037095934385433793
Artículo 6º,0,Territorios especiales,0.0003536428848747164
Artículo 6º,0,Estatuto de las aguas,0.00028939690673723817
Artículo 6º,0,Sufragio y sistema electoral,0.0002627134963404387
Artículo 6º,0,Defensoría de la Naturaleza,0.00020828341075684875
Artículo 6º,0,Derechos de la naturaleza,0.00020765583030879498
Artículo 7º,0,Órganos autónomos constitucionales,0.28311771154403687
Artículo 7º,0,Acciones constitucionales,0.22840233147144318
Artículo 7º,0,Poder ejecutivo,0.19896958768367767
Artículo 7º,0,Participación y representación,0.14316625893115997
Artículo 7º,0,Sobre los derechos,0.08059275895357132
Artículo 7º,0,Principios y disposiciones generales,0.028352558612823486
Artículo 7º,0,Poder legislativo,0.011601792648434639
Artículo 7º,0,Ministerio Público,0.009198850952088833
Artículo 7º,0,Derechos fundamentales,0.0024626883678138256
Artículo 7º,0,Buen gobierno y función pública,0.0019398381700739264
Artículo 7º,0,Comuna autónoma,0.0012796289520338178
Artículo 7º,0,Proceso de creación de leyes,0.0012183330254629254
Artículo 7º,0,Consejo de la Justicia,0.0010534783359616995
Artículo 7º,0,Organización territorial,0.0007444412331096828
Artículo 7º,0,Contraloría general de la república,0.0006878793356008828
Artículo 7º,0,Corte Constitucional,0.0006836910615675151
Artículo 7º,0,Región autónoma,0.0006184268859215081
Artículo 7º,0,Sistemas de justicia,0.0005239062011241913
Artículo 7º,0,Provincia,0.0004977352800779045
Artículo 7º,0,Defensoría Penal Pública,0.00045546935871243477
Artículo 7º,0,Reforma Constitucional,0.000366716441931203
Artículo 7º,0,Autonomía fiscal,0.00033476913813501596
Artículo 7º,0,Derechos de la naturaleza,0.0003325339057482779
Artículo 7º,0,Defensoría del Pueblo y de la Niñez,0.0003295701171737164
Artículo 7º,0,Bienes comunes naturales,0.0003015151305589825
Artículo 7º,0,Sufragio y sistema electoral,0.00028909664251841605
Artículo 7º,0,Cambio de Constitución,0.00026834075106307864
Artículo 7º,0,Banco Central,0.00025511591229587793
Artículo 7º,0,Ruralidad,0.0002516031381674111
Artículo 7º,0,Territorios especiales,0.00024793186457827687
Artículo 7º,0,Tipos de democracia,0.0002432093897368759
Artículo 7º,0,Agencia Nacional de Protección de Datos,0.00023827272525522858
Artículo 7º,0,Autonomías territoriales indígenas,0.0002349363057874143
Artículo 7º,0,Nacionalidad y ciudadanía,0.00023357478494290262
Artículo 7º,0,Estatuto de los minerales,0.00020089428289793432
Artículo 7º,0,Estatuto de las aguas,0.00016857478476595134
Artículo 7º,0,Defensoría de la Naturaleza,0.00013587989087682217
Artículo 8º,0,Buen gobierno y función pública,0.24292874336242676
Artículo 8º,0,Participación y representación,0.18597069382667542
Artículo 8º,0,Poder ejecutivo,0.17497293651103973
Artículo 8º,0,Acciones constitucionales,0.136234849691391
Artículo 8º,0,Órganos autónomos constitucionales,0.10846039652824402
Artículo 8º,0,Principios y disposiciones generales,0.05847443267703056
Artículo 8º,0,Ministerio Público,0.055409278720617294
Artículo 8º,0,Proceso de creación de leyes,0.011439505964517593
Artículo 8º,0,Poder legislativo,0.0043073734268546104
Artículo 8º,0,Sobre los derechos,0.0030050959903746843
Artículo 8º,0,Autonomía fiscal,0.0028728018514811993
Artículo 8º,0,Defensoría Penal Pública,0.0020251362584531307
Artículo 8º,0,Contraloría general de la república,0.0018023602897301316
Artículo 8º,0,Comuna autónoma,0.00112102460116148
Artículo 8º,0,Corte Constitucional,0.0010938523337244987
Artículo 8º,0,Tipos de democracia,0.0010280691785737872
Artículo 8º,0,Sistemas de justicia,0.0008237873553298414
Artículo 8º,0,Territorios especiales,0.0007527336711063981
Artículo 8º,0,Derechos fundamentales,0.0007235595840029418
Artículo 8º,0,Organización territorial,0.0007217377424240112
Artículo 8º,0,Provincia,0.00061715830815956
Artículo 8º,0,Consejo de la Justicia,0.0006087227375246584
Artículo 8º,0,Nacionalidad y ciudadanía,0.0005785611574538052
Artículo 8º,0,Región autónoma,0.0005700628971680999
Artículo 8º,0,Reforma Constitucional,0.0005632061511278152
Artículo 8º,0,Cambio de Constitución,0.0005581883597187698
Artículo 8º,0,Bienes comunes naturales,0.00036540997098200023
Artículo 8º,0,Agencia Nacional de Protección de Datos,0.0003132677811663598
Artículo 8º,0,Banco Central,0.0002826192358043045
Artículo 8º,0,Defensoría del Pueblo y de la Niñez,0.0002546728646848351
Artículo 8º,0,Ruralidad,0.00021644873777404428
Artículo 8º,0,Estatuto de los minerales,0.0002103249280480668
Artículo 8º,0,Autonomías territoriales indígenas,0.0001999967498704791
Artículo 8º,0,Estatuto de las aguas,0.00016515803872607648
Artículo 8º,0,Sufragio y sistema electoral,0.00011784827802330256
Artículo 8º,0,Defensoría de la Naturaleza,0.00011496735533000901
Artículo 8º,0,Derechos de la naturaleza,9.509352094028145e-05
Artículo 9º,0,Sobre los derechos,0.3971693813800812
Artículo 9º,0,Derechos fundamentales,0.19619566202163696
Artículo 9º,0,Principios y disposiciones generales,0.06645326316356659
Artículo 9º,0,Comuna autónoma,0.06543441116809845
Artículo 9º,0,Acciones constitucionales,0.06328248232603073
Artículo 9º,0,Consejo de la Justicia,0.030576420947909355
Artículo 9º,0,Poder ejecutivo,0.01911071315407753
Artículo 9º,0,Participación y representación,0.01699291728436947
Artículo 9º,0,Defensoría Penal Pública,0.016678107902407646
Artículo 9º,0,Ministerio Público,0.012987352907657623
Artículo 9º,0,Corte Constitucional,0.012507586739957333
Artículo 9º,0,Provincia,0.011087396182119846
Artículo 9º,0,Sistemas de justicia,0.009784873574972153
Artículo 9º,0,Territorios especiales,0.007950120605528355
Artículo 9º,0,Órganos autónomos constitucionales,0.006744683254510164
Artículo 9º,0,Tipos de democracia,0.005688011646270752
Artículo 9º,0,Organización territorial,0.005628179758787155
Artículo 9º,0,Poder legislativo,0.00559112848713994
Artículo 9º,0,Buen gobierno y función pública,0.005077137611806393
Artículo 9º,0,Defensoría de la Naturaleza,0.004201600793749094
Artículo 9º,0,Nacionalidad y ciudadanía,0.003956758417189121
Artículo 9º,0,Bienes comunes naturales,0.0037531154230237007
Artículo 9º,0,Reforma Constitucional,0.003432884579524398
Artículo 9º,0,Región autónoma,0.0034227105788886547
Artículo 9º,0,Proceso de creación de leyes,0.003296507988125086
Artículo 9º,0,Contraloría general de la república,0.002605326008051634
Artículo 9º,0,Defensoría del Pueblo y de la Niñez,0.002429660875350237
Artículo 9º,0,Autonomía fiscal,0.0022417574655264616
Artículo 9º,0,Banco Central,0.002226967131718993
Artículo 9º,0,Ruralidad,0.0020849108695983887
Artículo 9º,0,Estatuto de los minerales,0.002066385932266712
Artículo 9º,0,Cambio de Constitución,0.0020011693704873323
Artículo 9º,0,Derechos de la naturaleza,0.0019739402923732996
Artículo 9º,0,Sufragio y sistema electoral,0.001932525890879333
Artículo 9º,0,Agencia Nacional de Protección de Datos,0.0016425792127847672
Artículo 9º,0,Autonomías territoriales indígenas,0.0011122567811980844
Artículo 9º,0,Estatuto de las aguas,0.0006790236220695078
Artículo 10,0,Órganos autónomos constitucionales,0.09073390066623688
Artículo 10,0,Acciones constitucionales,0.0868341475725174
Artículo 10,0,Nacionalidad y ciudadanía,0.07983005046844482
Artículo 10,0,Provincia,0.0731511116027832
Artículo 10,0,Principios y disposiciones generales,0.06410171091556549
Artículo 10,0,Contraloría general de la república,0.044146619737148285
Artículo 10,0,Consejo de la Justicia,0.04351198673248291
Artículo 10,0,Participación y representación,0.03583886846899986
Artículo 10,0,Defensoría Penal Pública,0.03492845222353935
Artículo 10,0,Comuna autónoma,0.033432018011808395
Artículo 10,0,Organización territorial,0.031505391001701355
Artículo 10,0,Ministerio Público,0.03052969090640545
Artículo 10,0,Defensoría del Pueblo y de la Niñez,0.028309080749750137
Artículo 10,0,Corte Constitucional,0.0272980947047472
Artículo 10,0,Territorios especiales,0.02689513936638832
Artículo 10,0,Región autónoma,0.023342547938227654
Artículo 10,0,Tipos de democracia,0.01972678303718567
Artículo 10,0,Poder legislativo,0.015804998576641083
Artículo 10,0,Poder ejecutivo,0.015562540851533413
Artículo 10,0,Agencia Nacional de Protección de Datos,0.015512228012084961
Artículo 10,0,Reforma Constitucional,0.014558465220034122
Artículo 10,0,Sistemas de justicia,0.013439049944281578
Artículo 10,0,Bienes comunes naturales,0.013164730742573738
Artículo 10,0,Defensoría de la Naturaleza,0.012976878322660923
Artículo 10,0,Sobre los derechos,0.012310963124036789
Artículo 10,0,Sufragio y sistema electoral,0.010878036729991436
Artículo 10,0,Banco Central,0.010812596417963505
Artículo 10,0,Estatuto de los minerales,0.010714822448790073
Artículo 10,0,Ruralidad,0.010432686656713486
Artículo 10,0,Derechos fundamentales,0.010410519316792488
Artículo 10,0,Proceso de creación de leyes,0.01030666008591652
Artículo 10,0,Derechos de la naturaleza,0.00997913908213377
Artículo 10,0,Buen gobierno y función pública,0.009960157796740532
Artículo 10,0,Autonomía fiscal,0.009652535431087017
Artículo 10,0,Autonomías territoriales indígenas,0.008411518298089504
Artículo 10,0,Cambio de Constitución,0.00594265665858984
Artículo 10,0,Estatuto de las aguas,0.0050532082095742226
Artículo 10,1,Nacionalidad y ciudadanía,0.47213611006736755
Artículo 10,1,Poder ejecutivo,0.09410398453474045
Artículo 10,1,Principios y disposiciones generales,0.07153398543596268
Artículo 10,1,Comuna autónoma,0.04411095753312111
Artículo 10,1,Participación y representación,0.04067966341972351
Artículo 10,1,Acciones constitucionales,0.03422103449702263
Artículo 10,1,Sobre los derechos,0.02275022864341736
Artículo 10,1,Ministerio Público,0.022180553525686264
Artículo 10,1,Poder legislativo,0.018956709653139114
Artículo 10,1,Organización territorial,0.01764054410159588
Artículo 10,1,Territorios especiales,0.01661992259323597
Artículo 10,1,Tipos de democracia,0.015058782882988453
Artículo 10,1,Región autónoma,0.013407458551228046
Artículo 10,1,Órganos autónomos constitucionales,0.011508342809975147
Artículo 10,1,Defensoría Penal Pública,0.011140627786517143
Artículo 10,1,Provincia,0.009452554397284985
Artículo 10,1,Contraloría general de la república,0.0072391745634377
Artículo 10,1,Ruralidad,0.0068638925440609455
Artículo 10,1,Reforma Constitucional,0.006351287476718426
Artículo 10,1,Consejo de la Justicia,0.006101825274527073
Artículo 10,1,Estatuto de los minerales,0.0059716603718698025
Artículo 10,1,Derechos fundamentales,0.005434809718281031
Artículo 10,1,Banco Central,0.005218576639890671
Artículo 10,1,Derechos de la naturaleza,0.004513911437243223
Artículo 10,1,Defensoría de la Naturaleza,0.004456639755517244
Artículo 10,1,Bienes comunes naturales,0.004371998831629753
Artículo 10,1,Buen gobierno y función pública,0.0036639694590121508
Artículo 10,1,Agencia Nacional de Protección de Datos,0.0033228364773094654
Artículo 10,1,Cambio de Constitución,0.0032708116341382265
Artículo 10,1,Corte Constitucional,0.0029798857867717743
Artículo 10,1,Defensoría del Pueblo y de la Niñez,0.0027756213676184416
Artículo 10,1,Sistemas de justicia,0.002769583137705922
Artículo 10,1,Autonomía fiscal,0.002676483243703842
Artículo 10,1,Proceso de creación de leyes,0.002574549987912178
Artículo 10,1,Autonomías territoriales indígenas,0.0018286469858139753
Artículo 10,1,Sufragio y sistema electoral,0.0013550673611462116
Artículo 10,1,Estatuto de las aguas,0.0007573029724881053
Artículo 10,2,Nacionalidad y ciudadanía,0.5058252811431885
Artículo 10,2,Acciones constitucionales,0.06885416060686111
Artículo 10,2,Principios y disposiciones generales,0.04393106698989868
Artículo 10,2,Órganos autónomos constitucionales,0.03535814210772514
Artículo 10,2,Comuna autónoma,0.03511613979935646
Artículo 10,2,Poder legislativo,0.022597650066018105
Artículo 10,2,Región autónoma,0.01773056946694851
Artículo 10,2,Organización territorial,0.016951490193605423
Artículo 10,2,Sobre los derechos,0.016949495300650597
Artículo 10,2,Tipos de democracia,0.016680914908647537
Artículo 10,2,Participación y representación,0.015753652900457382
Artículo 10,2,Provincia,0.015634840354323387
Artículo 10,2,Defensoría de la Naturaleza,0.015455699525773525
Artículo 10,2,Contraloría general de la república,0.013843442313373089
Artículo 10,2,Ruralidad,0.01352724339812994
Artículo 10,2,Defensoría Penal Pública,0.01243880670517683
Artículo 10,2,Poder ejecutivo,0.011613979935646057
Artículo 10,2,Bienes comunes naturales,0.011149099096655846
Artículo 10,2,Consejo de la Justicia,0.01016173418611288
Artículo 10,2,Estatuto de los minerales,0.009573272429406643
Artículo 10,2,Banco Central,0.00934168417006731
Artículo 10,2,Derechos de la naturaleza,0.00869035068899393
Artículo 10,2,Territorios especiales,0.008303477428853512
Artículo 10,2,Ministerio Público,0.007675145287066698
Artículo 10,2,Autonomías territoriales indígenas,0.006075837183743715
Artículo 10,2,Corte Constitucional,0.005566664971411228
Artículo 10,2,Proceso de creación de leyes,0.005380524322390556
Artículo 10,2,Reforma Constitucional,0.005364079959690571
Artículo 10,2,Buen gobierno y función pública,0.005292898043990135
Artículo 10,2,Sistemas de justicia,0.00527162104845047
Artículo 10,2,Autonomía fiscal,0.005136184394359589
Artículo 10,2,Defensoría del Pueblo y de la Niñez,0.004876085091382265
Artículo 10,2,Derechos fundamentales,0.004195165354758501
Artículo 10,2,Agencia Nacional de Protección de Datos,0.0037968370597809553
Artículo 10,2,Cambio de Constitución,0.0030050999484956264
Artículo 10,2,Estatuto de las aguas,0.0019281437853351235
Artículo 10,2,Sufragio y sistema electoral,0.0009535803692415357
Artículo 10,3,Nacionalidad y ciudadanía,0.26822739839553833
Artículo 10,3,Acciones constitucionales,0.08644776046276093
Artículo 10,3,Comuna autónoma,0.08019591867923737
Artículo 10,3,Órganos autónomos constitucionales,0.05598734691739082
Artículo 10,3,Principios y disposiciones generales,0.04957377165555954
Artículo 10,3,Región autónoma,0.04306916892528534
Artículo 10,3,Defensoría Penal Pública,0.040053851902484894
Artículo 10,3,Organización territorial,0.03929524123668671
Artículo 10,3,Poder legislativo,0.03929035738110542
Artículo 10,3,Contraloría general de la república,0.032614778727293015
Artículo 10,3,Participación y representación,0.02301730588078499
Artículo 10,3,Reforma Constitucional,0.019757241010665894
Artículo 10,3,Ministerio Público,0.016241764649748802
Artículo 10,3,Provincia,0.015958866104483604
Artículo 10,3,Tipos de democracia,0.014987207017838955
Artículo 10,3,Consejo de la Justicia,0.0147286057472229
Artículo 10,3,Banco Central,0.014421969652175903
Artículo 10,3,Autonomía fiscal,0.0134816225618124
Artículo 10,3,Poder ejecutivo,0.013386019505560398
Artículo 10,3,Corte Constitucional,0.01184934563934803
Artículo 10,3,Bienes comunes naturales,0.01104107964783907
Artículo 10,3,Ruralidad,0.01000584103167057
Artículo 10,3,Sobre los derechos,0.009450188837945461
Artículo 10,3,Territorios especiales,0.009307142347097397
Artículo 10,3,Defensoría de la Naturaleza,0.00888655986636877
Artículo 10,3,Estatuto de los minerales,0.008556750603020191
Artículo 10,3,Buen gobierno y función pública,0.00835081934928894
Artículo 10,3,Cambio de Constitución,0.00820771511644125
Artículo 10,3,Proceso de creación de leyes,0.005641200114041567
