articulo,topico,score
Artículo 5,Sistemas de justicia,0.001258926116861403
Artículo 5,Bienes comunes naturales,0.0009961167816072702
Artículo 5,Defensoría de la Naturaleza,0.0009055498521775007
Artículo 5,Autonomía fiscal,0.0005214248667471111
Artículo 5,Estatuto de las aguas,0.0004823807394132018
Artículo 6,Participación y representación,0.5292960405349731
Artículo 6,Comuna autónoma,0.0834873840212822
Artículo 6,Buen gobierno y función pública,0.0810646265745163
Artículo 6,Acciones constitucionales,0.05720813199877739
Artículo 6,Principios y disposiciones generales,0.056104738265275955
Artículo 6,Sobre los derechos,0.05194506794214249
Artículo 6,Órganos autónomos constitucionales,0.05068087577819824
Artículo 6,Derechos fundamentales,0.01438820082694292
Artículo 6,Poder ejecutivo,0.013597643002867699
Artículo 6,Tipos de democracia,0.008899949491024017
Artículo 6,Nacionalidad y ciudadanía,0.006219003349542618
Artículo 6,Poder legislativo,0.005768881179392338
Artículo 6,Proceso de creación de leyes,0.004244257230311632
Artículo 6,Ministerio Público,0.0031759575940668583
Artículo 6,Autonomía fiscal,0.003124094568192959
Artículo 6,Provincia,0.003092477098107338
Artículo 6,Reforma Constitucional,0.002438601339235902
Artículo 6,Región autónoma,0.0020653936080634594
Artículo 6,Cambio de Constitución,0.0019233401399105787
Artículo 6,Derechos de la naturaleza,0.0019057681784033775
Artículo 6,Corte Constitucional,0.0017319645266979933
Artículo 6,Organización territorial,0.0017227822681888938
Artículo 6,Defensoría del Pueblo y de la Niñez,0.001674288883805275
Artículo 6,Contraloría general de la república,0.0016039295587688684
Artículo 6,Defensoría Penal Pública,0.0014427719870582223
Artículo 6,Consejo de la Justicia,0.0014020676026120782
Artículo 6,Defensoría de la Naturaleza,0.001380047295242548
Artículo 6,Banco Central,0.0012385154841467738
Artículo 6,Agencia Nacional de Protección de Datos,0.0011735152220353484
Artículo 6,Bienes comunes naturales,0.0010528265265747905
Artículo 6,Sistemas de justicia,0.0008922039414756
Artículo 6,Territorios especiales,0.0008764028898440301
Artículo 6,Estatuto de los minerales,0.0008119079866446555
Artículo 6,Sufragio y sistema electoral,0.0007065149839036167
Artículo 6,Autonomías territoriales indígenas,0.0006187057588249445
Artículo 6,Ruralidad,0.0005995375686325133
Artículo 6,Estatuto de las aguas,0.00044166651787236333
Artículo 7,Organización territorial,0.25288742780685425
Artículo 7,Comuna autónoma,0.19215084612369537
Artículo 7,Órganos autónomos constitucionales,0.16171017289161682
Artículo 7,Región autónoma,0.10124563425779343
Artículo 7,Principios y disposiciones generales,0.06160714849829674
Artículo 7,Acciones constitucionales,0.05903584882616997
Artículo 7,Territorios especiales,0.03321314603090286
Artículo 7,Tipos de democracia,0.017236793413758278
Artículo 7,Poder ejecutivo,0.014250691048800945
Artículo 7,Defensoría Penal Pública,0.013856214471161366
Artículo 7,Poder legislativo,0.010645627044141293
Artículo 7,Participación y representación,0.009423580951988697
Artículo 7,Contraloría general de la república,0.007934092544019222
Artículo 7,Ministerio Público,0.007305716630071402
Artículo 7,Cambio de Constitución,0.006890865974128246
Artículo 7,Consejo de la Justicia,0.006574994884431362
Artículo 7,Corte Constitucional,0.0060620433650910854
Artículo 7,Reforma Constitucional,0.005765301641076803
Artículo 7,Provincia,0.005328790750354528
Artículo 7,Buen gobierno y función pública,0.004511737730354071
Artículo 7,Derechos fundamentales,0.0028859623707830906
Artículo 7,Proceso de creación de leyes,0.002569095464423299
Artículo 7,Sistemas de justicia,0.0023397179320454597
Artículo 7,Sobre los derechos,0.002121115103363991
Artículo 7,Nacionalidad y ciudadanía,0.001901916111819446
Artículo 7,Estatuto de los minerales,0.0017711183754727244
Artículo 7,Ruralidad,0.0015698944916948676
Artículo 7,Banco Central,0.0014811237342655659
Artículo 7,Agencia Nacional de Protección de Datos,0.001406642608344555
Artículo 7,Autonomías territoriales indígenas,0.0010101523948833346
Artículo 7,Derechos de la naturaleza,0.0005903433775529265
Artículo 7,Defensoría del Pueblo y de la Niñez,0.000545823248103261
Artículo 7,Bienes comunes naturales,0.0004949147696606815
Artículo 7,Defensoría de la Naturaleza,0.0004902867949567735
Artículo 7,Autonomía fiscal,0.00047874479787424207
Artículo 7,Sufragio y sistema electoral,0.0004134400514885783
Artículo 7,Estatuto de las aguas,0.00029303180053830147
Artículo 8,Defensoría de la Naturaleza,0.3545357286930084
Artículo 8,Bienes comunes naturales,0.1803452968597412
Artículo 8,Contraloría general de la república,0.05551524460315704
Artículo 8,Acciones constitucionales,0.043860141187906265
Artículo 8,Provincia,0.04056265577673912
Artículo 8,Derechos de la naturaleza,0.035854317247867584
Artículo 8,Órganos autónomos constitucionales,0.03523651883006096
Artículo 8,Defensoría Penal Pública,0.027930360287427902
Artículo 8,Ministerio Público,0.026642244309186935
Artículo 8,Principios y disposiciones generales,0.026006849482655525
Artículo 8,Corte Constitucional,0.02537853643298149
Artículo 8,Comuna autónoma,0.016500700265169144
Artículo 8,Poder ejecutivo,0.016118407249450684
Artículo 8,Banco Central,0.01237454917281866
Artículo 8,Cambio de Constitución,0.011689959093928337
Artículo 8,Tipos de democracia,0.011183652095496655
Artículo 8,Poder legislativo,0.009701764211058617
Artículo 8,Nacionalidad y ciudadanía,0.009656448848545551
Artículo 8,Región autónoma,0.008669220842421055
Artículo 8,Reforma Constitucional,0.00859928224235773
Artículo 8,Consejo de la Justicia,0.006074585951864719
Artículo 8,Agencia Nacional de Protección de Datos,0.006018527317792177
Artículo 8,Derechos fundamentales,0.004880110267549753
Artículo 8,Ruralidad,0.004738831426948309
Artículo 8,Participación y representación,0.0045190718956291676
Artículo 8,Organización territorial,0.003015703521668911
Artículo 8,Autonomía fiscal,0.0028618520591408014
Artículo 8,Defensoría del Pueblo y de la Niñez,0.001951121725142002
Artículo 8,Sobre los derechos,0.0016490438720211387
Artículo 8,Autonomías territoriales indígenas,0.0013784226030111313
Artículo 8,Proceso de creación de leyes,0.0011991579085588455
Artículo 8,Sufragio y sistema electoral,0.0010731344809755683
Artículo 8,Territorios especiales,0.0010661310516297817
Artículo 8,Estatuto de los minerales,0.0010452152928337455
Artículo 8,Sistemas de justicia,0.0008996303658932447
Artículo 8,Buen gobierno y función pública,0.0008008427103050053
Artículo 8,Estatuto de las aguas,0.00046668038703501225
Artículo 9,Principios y disposiciones generales,0.5591240525245667
Artículo 9,Acciones constitucionales,0.35432589054107666
Artículo 9,Derechos fundamentales,0.017698857933282852
Artículo 9,Sobre los derechos,0.01507576648145914
Artículo 9,Comuna autónoma,0.010119871236383915
Artículo 9,Tipos de democracia,0.0035769918467849493
Artículo 9,Corte Constitucional,0.0029941312968730927
Artículo 9,Órganos autónomos constitucionales,0.0029860343784093857
Artículo 9,Derechos de la naturaleza,0.0028568096458911896
Artículo 9,Provincia,0.0023113321512937546
Artículo 9,Región autónoma,0.002197044203057885
Artículo 9,Defensoría de la Naturaleza,0.0018274736357852817
Artículo 9,Reforma Constitucional,0.001681301393546164
Artículo 9,Contraloría general de la república,0.001543500111438334
Artículo 9,Consejo de la Justicia,0.0015065912157297134
Artículo 9,Proceso de creación de leyes,0.001499813748523593
Artículo 9,Poder legislativo,0.0014934493228793144
Artículo 9,Nacionalidad y ciudadanía,0.0014399515930563211
Artículo 9,Buen gobierno y función pública,0.0014119534753262997
Artículo 9,Ruralidad,0.0012381019769236445
Artículo 9,Bienes comunes naturales,0.0012174368603155017
Artículo 9,Defensoría Penal Pública,0.0011482114205136895
Artículo 9,Participación y representación,0.0011421198723837733
Artículo 9,Organización territorial,0.0011293900897726417
Artículo 9,Agencia Nacional de Protección de Datos,0.001028279191814363
Artículo 9,Poder ejecutivo,0.0009221432264894247
Artículo 9,Cambio de Constitución,0.0008128819754347205
Artículo 9,Autonomías territoriales indígenas,0.0008036063518375158
Artículo 9,Autonomía fiscal,0.000734635628759861
Artículo 9,Estatuto de las aguas,0.0005983555456623435
Artículo 9,Banco Central,0.0005789527203887701
Artículo 9,Sistemas de justicia,0.0005708835087716579
Artículo 9,Defensoría del Pueblo y de la Niñez,0.0005539697012864053
Artículo 9,Ministerio Público,0.0005420967936515808
Artículo 9,Territorios especiales,0.00048799251089803874
Artículo 9,Estatuto de los minerales,0.0004589716554619372
Artículo 9,Sufragio y sistema electoral,0.0003610951825976372
Artículo 10,Comuna autónoma,0.3813301920890808
Artículo 10,Órganos autónomos constitucionales,0.0866057276725769
Artículo 10,Defensoría del Pueblo y de la Niñez,0.05839521810412407
Artículo 10,Provincia,0.05774252116680145
Artículo 10,Acciones constitucionales,0.05606731027364731
Artículo 10,Participación y representación,0.049221355468034744
Artículo 10,Sobre los derechos,0.047800108790397644
Artículo 10,Principios y disposiciones generales,0.037666309624910355
Artículo 10,Derechos fundamentales,0.03626880794763565
Artículo 10,Derechos de la naturaleza,0.034532781690359116
Artículo 10,Región autónoma,0.033985283225774765
Artículo 10,Contraloría general de la república,0.026703529059886932
Artículo 10,Ruralidad,0.014090212993323803
Artículo 10,Corte Constitucional,0.009809821844100952
Artículo 10,Consejo de la Justicia,0.00852543767541647
Artículo 10,Cambio de Constitución,0.006897179409861565
Artículo 10,Poder legislativo,0.006002400536090136
Artículo 10,Tipos de democracia,0.005093734711408615
Artículo 10,Ministerio Público,0.005019551143050194
Artículo 10,Reforma Constitucional,0.00450384896248579
Artículo 10,Poder ejecutivo,0.004482502117753029
Artículo 10,Agencia Nacional de Protección de Datos,0.004353886935859919
Artículo 10,Defensoría de la Naturaleza,0.0036042919382452965
Artículo 10,Defensoría Penal Pública,0.003479125676676631
Artículo 10,Bienes comunes naturales,0.0029094903729856014
Artículo 10,Organización territorial,0.0024125000927597284
Artículo 10,Territorios especiales,0.002256742911413312
Artículo 10,Banco Central,0.002240460831671953
Artículo 10,Autonomías territoriales indígenas,0.0017875354969874024
Artículo 10,Buen gobierno y función pública,0.0013780760345980525
Artículo 10,Nacionalidad y ciudadanía,0.0010341223096475005
Artículo 10,Estatuto de los minerales,0.0008503853459842503
Artículo 10,Autonomía fiscal,0.0007481303764507174
Artículo 10,Sistemas de justicia,0.0007326070917770267
Artículo 10,Proceso de creación de leyes,0.0007204535068012774
Artículo 10,Sufragio y sistema electoral,0.0004656353557948023
Artículo 10,Estatuto de las aguas,0.0002827589923981577
Artículo 11,Buen gobierno y función pública,0.26389992237091064
Artículo 11,Acciones constitucionales,0.1503901332616806
Artículo 11,Poder ejecutivo,0.136223703622818
Artículo 11,Ministerio Público,0.07415062934160233
Artículo 11,Principios y disposiciones generales,0.05602047219872475
Artículo 11,Comuna autónoma,0.05491677299141884
Artículo 11,Órganos autónomos constitucionales,0.04564111679792404
Artículo 11,Nacionalidad y ciudadanía,0.039420921355485916
Artículo 11,Contraloría general de la república,0.0200925525277853
Artículo 11,Provincia,0.016656313091516495
Artículo 11,Tipos de democracia,0.01329906564205885
Artículo 11,Participación y representación,0.012606464326381683
Artículo 11,Organización territorial,0.012226035818457603
Artículo 11,Banco Central,0.010808970779180527
Artículo 11,Defensoría Penal Pública,0.009944243356585503
Artículo 11,Sobre los derechos,0.00872395932674408
Artículo 11,Agencia Nacional de Protección de Datos,0.00819918978959322
Artículo 11,Consejo de la Justicia,0.007237429264932871
Artículo 11,Región autónoma,0.006813930347561836
Artículo 11,Cambio de Constitución,0.006563668604940176
Artículo 11,Corte Constitucional,0.006413940340280533
Artículo 11,Reforma Constitucional,0.005912154447287321
Artículo 11,Poder legislativo,0.0050436947494745255
Artículo 11,Derechos fundamentales,0.004950067028403282
Artículo 11,Estatuto de los minerales,0.004026938229799271
Artículo 11,Proceso de creación de leyes,0.003219891106709838
Artículo 11,Territorios especiales,0.0023842474911361933
Artículo 11,Defensoría de la Naturaleza,0.0021849903278052807
Artículo 11,Ruralidad,0.002132394351065159
Artículo 11,Derechos de la naturaleza,0.001968387747183442
Artículo 11,Autonomías territoriales indígenas,0.0016459659673273563
Artículo 11,Sufragio y sistema electoral,0.001301345182582736
Artículo 11,Sistemas de justicia,0.0012794536305591464
Artículo 11,Defensoría del Pueblo y de la Niñez,0.001183238928206265
Artículo 11,Autonomía fiscal,0.0010647966992110014
Artículo 11,Bienes comunes naturales,0.0009294733172282577
Artículo 11,Estatuto de las aguas,0.0005236112046986818
Artículo 12,Principios y disposiciones generales,0.08781173080205917
Artículo 12,Órganos autónomos constitucionales,0.07709755003452301
Artículo 12,Sobre los derechos,0.07066480815410614
Artículo 12,Región autónoma,0.06001624837517738
Artículo 12,Acciones constitucionales,0.05982919782400131
Artículo 12,Comuna autónoma,0.05213262513279915
Artículo 12,Territorios especiales,0.046296242624521255
Artículo 12,Poder ejecutivo,0.04129350930452347
Artículo 12,Contraloría general de la república,0.037743549793958664
Artículo 12,Nacionalidad y ciudadanía,0.036612335592508316
Artículo 12,Organización territorial,0.03533760458230972
Artículo 12,Defensoría Penal Pública,0.032637666910886765
Artículo 12,Poder legislativo,0.030840808525681496
Artículo 12,Provincia,0.030470602214336395
Artículo 12,Ministerio Público,0.027546798810362816
Artículo 12,Tipos de democracia,0.026456374675035477
Artículo 12,Autonomías territoriales indígenas,0.023642420768737793
Artículo 12,Consejo de la Justicia,0.019680507481098175
Artículo 12,Participación y representación,0.018805233761668205
Artículo 12,Banco Central,0.01733357459306717
Artículo 12,Reforma Constitucional,0.016982272267341614
Artículo 12,Corte Constitucional,0.01583821326494217
Artículo 12,Proceso de creación de leyes,0.015151828527450562
Artículo 12,Sistemas de justicia,0.014775014482438564
Artículo 12,Derechos de la naturaleza,0.011957919225096703
Artículo 12,Derechos fundamentales,0.011953473091125488
Artículo 12,Buen gobierno y función pública,0.010692103765904903
Artículo 12,Cambio de Constitución,0.01018454134464264
Artículo 12,Autonomía fiscal,0.010125342756509781
Artículo 12,Estatuto de los minerales,0.0094572389498353
Artículo 12,Agencia Nacional de Protección de Datos,0.009291411377489567
Artículo 12,Sufragio y sistema electoral,0.007327561266720295
Artículo 12,Ruralidad,0.006500551477074623
Artículo 12,Defensoría del Pueblo y de la Niñez,0.0052963681519031525
Artículo 12,Bienes comunes naturales,0.005182628519833088
Artículo 12,Defensoría de la Naturaleza,0.004165830556303263
Artículo 12,Estatuto de las aguas,0.0028683526907116175
Artículo 13,Autonomías territoriales indígenas,0.29868343472480774
Artículo 13,Territorios especiales,0.09140101075172424
Artículo 13,Nacionalidad y ciudadanía,0.08142945170402527
Artículo 13,Órganos autónomos constitucionales,0.07669831067323685
Artículo 13,Acciones constitucionales,0.06178496778011322
Artículo 13,Comuna autónoma,0.04860541969537735
Artículo 13,Región autónoma,0.030174516141414642
Artículo 13,Contraloría general de la república,0.030128519982099533
Artículo 13,Principios y disposiciones generales,0.027728457003831863
Artículo 13,Poder legislativo,0.026027128100395203
Artículo 13,Provincia,0.025919117033481598
Artículo 13,Organización territorial,0.021790778264403343
Artículo 13,Poder ejecutivo,0.016785116866230965
Artículo 13,Defensoría de la Naturaleza,0.016204822808504105
Artículo 13,Reforma Constitucional,0.01493050716817379
Artículo 13,Defensoría Penal Pública,0.0136360302567482
Artículo 13,Participación y representación,0.013332572765648365
Artículo 13,Derechos de la naturaleza,0.009714314714074135
Artículo 13,Ruralidad,0.008711178787052631
Artículo 13,Proceso de creación de leyes,0.008477304130792618
Artículo 13,Corte Constitucional,0.00791108887642622
Artículo 13,Consejo de la Justicia,0.007814626209437847
Artículo 13,Cambio de Constitución,0.007689471822232008
Artículo 13,Ministerio Público,0.0066749462857842445
Artículo 13,Tipos de democracia,0.00603408133611083
Artículo 13,Sobre los derechos,0.006027172785252333
Artículo 13,Bienes comunes naturales,0.005930062383413315
Artículo 13,Sistemas de justicia,0.005359629634767771
Artículo 13,Agencia Nacional de Protección de Datos,0.004956486634910107
Artículo 13,Buen gobierno y función pública,0.004554386250674725
Artículo 13,Derechos fundamentales,0.003333242377266288
Artículo 13,Banco Central,0.0032401836942881346
Artículo 13,Autonomía fiscal,0.0028950257692486048
Artículo 13,Defensoría del Pueblo y de la Niñez,0.0017822213703766465
Artículo 13,Estatuto de los minerales,0.0014667246723547578
Artículo 13,Sufragio y sistema electoral,0.0012418001424521208
Artículo 13,Estatuto de las aguas,0.0009258599020540714
Artículo 14,Región autónoma,0.11451103538274765
Artículo 14,Territorios especiales,0.10841459780931473
Artículo 14,Defensoría de la Naturaleza,0.1005449965596199
Artículo 14,Sobre los derechos,0.0720500499010086
Artículo 14,Derechos fundamentales,0.0715579092502594
Artículo 14,Participación y representación,0.06448682397603989
Artículo 14,Autonomías territoriales indígenas,0.05914635956287384
Artículo 14,Comuna autónoma,0.05625544860959053
Artículo 14,Derechos de la naturaleza,0.05226542055606842
Artículo 14,Principios y disposiciones generales,0.04788573831319809
Artículo 14,Acciones constitucionales,0.031693004071712494
Artículo 14,Organización territorial,0.025303643196821213
Artículo 14,Provincia,0.022099098190665245
Artículo 14,Órganos autónomos constitucionales,0.018007801845669746
Artículo 14,Tipos de democracia,0.01607237011194229
Artículo 14,Poder legislativo,0.015392226167023182
Artículo 14,Ministerio Público,0.01386911328881979
Artículo 14,Contraloría general de la república,0.013754066079854965
Artículo 14,Poder ejecutivo,0.013280864804983139
Artículo 14,Consejo de la Justicia,0.010314817540347576
Artículo 14,Corte Constitucional,0.00903402827680111
Artículo 14,Buen gobierno y función pública,0.007757137063890696
Artículo 14,Defensoría Penal Pública,0.007359048817306757
Artículo 14,Proceso de creación de leyes,0.006683303043246269
Artículo 14,Ruralidad,0.006198149174451828
Artículo 14,Nacionalidad y ciudadanía,0.005684547126293182
Artículo 14,Bienes comunes naturales,0.0051972027868032455
Artículo 14,Banco Central,0.005189463961869478
Artículo 14,Sistemas de justicia,0.004015420097857714
Artículo 14,Reforma Constitucional,0.0038099796511232853
Artículo 14,Agencia Nacional de Protección de Datos,0.002703726990148425
Artículo 14,Cambio de Constitución,0.0023195301182568073
Artículo 14,Defensoría del Pueblo y de la Niñez,0.0022152212914079428
Artículo 14,Estatuto de los minerales,0.001617199508473277
Artículo 14,Autonomía fiscal,0.0014428725698962808
Artículo 14,Sufragio y sistema electoral,0.0012104231864213943
Artículo 14,Estatuto de las aguas,0.0006574257859028876
Artículo 15,Sobre los derechos,0.43587175011634827
Artículo 15,Principios y disposiciones generales,0.1830792874097824
Artículo 15,Derechos fundamentales,0.18189696967601776
